question,human_response,House of Spencer_base_answer,House of Spencer_base_grade,House of Spencer_fine_tuned_answer,House of Spencer_fine_tuned_grade
¿Consulta y a todas las personas de la clase se les hace los mismos ejercicios? O cómo funcionan??,"Todos nuestros profes son kinesiólogos 💪, por lo que podemos adaptar las rutinas a la realidad de cada uno.","¡Hola! 😊 En nuestras clases, todos nuestros profes son kinesiólogos 💪, por lo que podemos adaptar las rutinas a la realidad de cada participante. Así, cada uno trabaja según sus necesidades y capacidades. ¿Te gustaría más información?",5,"¡Hola! 😊 Todos nuestros alumnos entrenan juntos, pero como todas nuestras clases son realizadas por kinesiólogos 💪, podemos adaptar las rutinas a la realidad de cada uno. ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24",4
¿Consulta y a todas las personas de la clase se les hace los mismos ejercicios? O cómo funcionan??,"Todos nuestros profes son kinesiólogos 💪, por lo que podemos adaptar las rutinas a la realidad de cada uno.","¡Hola! 😊 En nuestras clases, los ejercicios se adaptan a las necesidades de cada persona. Nuestros profes, todos kinesiólogos, personalizan las rutinas para cada alumno. 💪 ¿Te gustaría saber más?",5,"¡Hola! 😊 Todas nuestras clases son semi-personalizadas. Esto significa que aunque todos los alumnos de la clase realizan ejercicios diferentes, están alineados con un mismo objetivo. 💪 Como todas nuestras clases son realizadas por kinesiólogos, podemos adaptar las rutinas a la realidad de cada uno. 🚑 ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24 ¿Necesitas más información?",4
¿Consulta y a todas las personas de la clase se les hace los mismos ejercicios? O cómo funcionan??,"Todos nuestros profes son kinesiólogos 💪, por lo que podemos adaptar las rutinas a la realidad de cada uno.","¡Hola! 😊 Todos nuestros profes son kinesiólogos 💪, por lo que podemos adaptar las rutinas a la realidad de cada uno. Cada clase es semi personalizada, ajustándose a las necesidades de los participantes. ¿Te gustaría saber más?",5,"¡Hola! 😊 No todas las personas hacen los mismos ejercicios. Todos nuestros alumnos tienen diferentes niveles y objetivos, por lo que nuestras rutinas son adaptadas a la realidad de cada uno. 💪 ¿Te gustaría venir a una de nuestras clases de prueba gratuita para experimentar cómo trabajamos? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24",5
"Hi, do you offer trial classes to get to know your services?",Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,5,Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,5
"Hi, do you offer trial classes to get to know your services?",Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,5,Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,5
"Hi, do you offer trial classes to get to know your services?",Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,5,Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,5
"Hi, do you offer trial classes to get to know your services?",Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,5,Hi there! 😊 Absolutely! You can book your free trial class here: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Let me know if you need any help!,5
How much do the classes cost?,"Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️‍♂️ The plans last for 2 months. Do you need more information?","Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️\u200d♂️ The plans last for 2 months. Do you need more information?",5,"Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️\u200d♂️ The plans last for 2 months. Do you need more information?",5
How much do the classes cost?,"Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️‍♂️ The plans last for 2 months. Do you need more information?","Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️\u200d♂️ The plans last for 2 months. Do you need more information?",5,"Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️\u200d♂️ The plans last for 2 months. Do you need more information?",5
How much do the classes cost?,"Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️‍♂️ The plans last for 2 months. Do you need more information?","Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️\u200d♂️ The plans last for 2 months. Do you need more information?",5,"Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️\u200d♂️ The plans last for 2 months. Do you need more information?",5
How much do the classes cost?,"Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️‍♂️ The plans last for 2 months. Do you need more information?","Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️\u200d♂️ The plans last for 2 months. Do you need more information?",5,"Hey! 💪 Our classes cost $120,000 CLP for 10 sessions and $220,000 CLP for 20 sessions. 🏋️\u200d♂️ The plans last for 2 months. Do you need more information?",5
Can I schedule classes through an app?,Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It\'s quick and easy! Let me know if you need assistance.,"TextContentBlock(text=Text(annotations=[], value=""Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It's quick and easy! Let me know if you need assistance.""), type='text')",5,"TextContentBlock(text=Text(annotations=[], value=""Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It's quick and easy! Let me know if you need assistance.""), type='text')",5
Can I schedule classes through an app?,Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It\'s quick and easy! Let me know if you need assistance.,"TextContentBlock(text=Text(annotations=[], value=""Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It's quick and easy! Let me know if you need assistance.""), type='text')",5,"TextContentBlock(text=Text(annotations=[], value=""Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It's quick and easy! Let me know if you need assistance.""), type='text')",5
Can I schedule classes through an app?,Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It\'s quick and easy! Let me know if you need assistance.,"TextContentBlock(text=Text(annotations=[], value=""Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It's quick and easy! Let me know if you need assistance.""), type='text')",5,"TextContentBlock(text=Text(annotations=[], value=""Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It's quick and easy! Let me know if you need assistance.""), type='text')",5
Can I schedule classes through an app?,Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It\'s quick and easy! Let me know if you need assistance.,"TextContentBlock(text=Text(annotations=[], value=""Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It's quick and easy! Let me know if you need assistance.""), type='text')",5,"TextContentBlock(text=Text(annotations=[], value=""Yes! 📲 You can schedule your classes using the BoxMagic app or by visiting https://auth.boxmagic.cl/. It's quick and easy! Let me know if you need assistance.""), type='text')",5
Do you have services in nutrition?,"Absolutely! 🍏 You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!","Absolutely! 🍏 You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!",5,"Absolutely! 🍏 We offer various nutrition services. You can book nuestra consulta nutricional, medición antropométrica, pauta de alimentación y seguimiento. 📝 ¿Necesitas más información sobre algún servicio en particular?",4
Do you have services in nutrition?,"Absolutely! 🍏 You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!","Absolutely! 🍏 You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!",5,"Absolutely! 🍏 We offer various nutrition services, including consultations and meal plans. You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!",5
Do you have services in nutrition?,"Absolutely! 🍏 You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!","Absolutely! 🍏 You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!",5,"Absolutely! 🍏 We offer various nutrition services. You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!",5
Do you have services in nutrition?,"Absolutely! 🍏 You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!","Absolutely! 🍏 You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!",5,"Absolutely! 🍏 We offer a variety of nutrition services. You can book our nutrition services here: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. If you have any questions, feel free to ask!",5
Are your prices in US dollars?,"Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!","Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!",5,"Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!",5
Are your prices in US dollars?,"Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!","Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!",5,"Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!",5
Are your prices in US dollars?,"Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!","Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!",5,"Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!",5
Are your prices in US dollars?,"Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!","Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!",5,"Our prices are in Chilean pesos (CLP). 💰 For example, 10 sessions cost $120,000 CLP. Let me know if you need more details!",5
